Strain	Code
Diatom;Navicula;Navicula cryptocephala;NA007A;KM084944;	NA007A
Diatom;Navicula;Navicula cryptocephala;NA007A;KM084946;	NA007A
Diatom;Navicula;Navicula cryptotenella;NA751A;KM084994;	NA751A
Diatom;Navicula;Navicula gregaria;NA023A;KM084949;	NA023A
Diatom;Navicula;Navicula gregaria;NA023A;KM084954;	NA023A
Diatom;Navicula;Navicula gregaria;NA023A;KM084960;	NA023A
Diatom;Navicula;Navicula radiosa;NA003A;KM084955;	NA003A
Diatom;Navicula;Navicula rhynchotella;ZZZ847;KM084950;	ZZZ847
Diatom;Navicula;Navicula rhynchotella;ZZZ847;KM084951;	ZZZ847
Diatom;Navicula;Navicula rhynchotella;ZZZ847;KM084952;	ZZZ847
Diatom;Navicula;Navicula rhynchotella;ZZZ847;KM084953;	ZZZ847
Diatom;Navicula;Navicula slesvicensis;NA080A;KM084942;	NA080A
Diatom;Navicula;Navicula tripunctata;NA095A;KM084935;	NA095A
Diatom;Navicula;Navicula tripunctata;NA095A;KM084986;	NA095A
Diatom;Neidium;Neidium affine;NE003A;HQ912447;	NE003A
Diatom;Neidium;Neidium bisulcatum;NE004A;HQ912455;	NE004A
Diatom;Neidium;Neidium productum;NE002A;HQ912446;	NE002A
Diatom;Nitzschia;Nitzschia ardua;NITZ-05;HF675061;	NITZ-05
Diatom;Nitzschia;Nitzschia aequorea;NI060A;HF675062;	NI060A
Diatom;Nitzschia;Nitzschia bulnheimiana;NITZ-06;HF675063;	NITZ-06
Diatom;Nitzschia;Nitzschia fonticola;NI002A;HF675066;	NI002A
Diatom;Nitzschia;Nitzschia fonticola;NI002A;HF675067;	NI002A
Diatom;Nitzschia;Nitzschia fonticola;NI002A;HF675068;	NI002A
Diatom;Nitzschia;Nitzschia frustulum;NI008A;HF675069;	NI008A
Diatom;Nitzschia;Nitzschia frustulum;NI008A;HF675070;	NI008A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675071;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675072;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675073;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675074;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675075;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675076;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675077;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675078;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675079;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675080;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675081;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675082;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675083;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675084;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675085;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675086;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675087;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675088;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675089;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675090;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675091;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675092;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675093;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675094;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675095;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675096;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675097;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675098;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675099;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675100;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675101;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;HF675102;	NI043A
Diatom;Nitzschia;Nitzschia microcephala;NI027A;HF675103;	NI027A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675104;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675105;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675106;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675107;	NI009A
Diatom;Nitzschia;Nitzschia pusilla;NI152A;HF675108;	NI152A
Diatom;Nitzschia;Nitzschia pusilla;NI152A;HF675109;	NI152A
