Strain	Code
Diatom;Melosira;Melosira varians;ME015A;683;	ME015A
Diatom;Encyonema;Encyonema;EY9999;684;	EY9999
Diatom;Cocconeis;Cocconeis placentula;CO001A;689;	CO001A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;690;	ZZZ959
Diatom;Diatoma;Diatoma vulgare;DT003A;693;	DT003A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;698;	ULNA-02
Diatom;Nitzschia;Nitzschia amphibia;NI014A;701;	NI014A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;702;	ULNA-02
Diatom;Gomphonema;Gomphonema cymbelliclinum;GOMP-14;703;	GOMP-14
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;704;	ZZZ897
Diatom;Ulnaria;Ulnaria acus;ULNA-01;706;	ULNA-01
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;707;	ACHD-02
Diatom;Gomphonema;Gomphonema;GO9999;708;	GO9999
Diatom;Surirella;Surirella angusta;SU001A;709;	SU001A
Diatom;Gomphonema;Gomphonema parvulum;GO013A;711;	GO013A
Diatom;Nitzschia;Nitzschia capitellata;NI028A;713;	NI028A
Diatom;Navicula;Navicula tripunctata;NA095A;716;	NA095A
Diatom;Rhoicosphenia;Rhoicosphenia abbreviata;RC002A;718;	RC002A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;720;	ULNA-02
Diatom;Diatoma;Diatoma vulgare;DT003A;721;	DT003A
Diatom;Nitzschia;Nitzschia amphibia;NI014A;722;	NI014A
Diatom;Cocconeis;Cocconeis pediculus;CO005A;723;	CO005A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;725;	ZZZ959
Diatom;Fragilaria;Fragilaria;FR9999;726;	FR9999
Diatom;Navicula;Navicula radiosa;NA003A;728;	NA003A
Diatom;Eunotia;Eunotia arcus;EU013A;729;	EU013A
Diatom;Encyonopsis;Encyonopsis microcephala;ENCS-01;731;	ENCS-01
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;734;	FRAG-11
Diatom;Hannaea;Hannaea arcus;HN001A;739;	HN001A
Diatom;Eunotia;Eunotia implicata;EU107A;740;	EU107A
Diatom;Eunotia;Eunotia bilunaris;EU070A;742;	EU070A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;743;	FRAG-11
Diatom;Gomphonema;Gomphonema exilissimum;GOMP-09;745;	GOMP-09
Diatom;Stauroneis;Stauroneis phoenicenteron;SA006A;752;	SA006A
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;758;	PINN-05
Diatom;Neidium;Neidium dubium;NE007A;762;	NE007A
Diatom;Gomphonema;Gomphonema parvulum;GO013A;764;	GO013A
Diatom;Melosira;Melosira varians;ME015A;767;	ME015A
Diatom;Surirella;Surirella angusta;SU001A;768;	SU001A
Diatom;Nitzschia;Nitzschia recta;NI025A;769;	NI025A
Diatom;Nitzschia;Nitzschia sociabilis;NI166A;501;	NI166A
Diatom;Nitzschia;Nitzschia palea;NI009A;774;	NI009A
Diatom;Navicula;Navicula gregaria;NA023A;777;	NA023A
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;778;	ZZZ897
Diatom;Navicula;Navicula lanceolata;NA009B;779;	NA009B
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;783;	CY003A
Diatom;Pinnularia;Pinnularia;PI9999;785;	PI9999
Diatom;Nitzschia;Nitzschia sigmoidea;NI046A;787;	NI046A
Diatom;Fragilaria;Fragilaria;FR9999;791;	FR9999
Diatom;Eunotia;Eunotia bilunaris;EU070A;794;	EU070A
Diatom;Nitzschia;Nitzschia recta;NI025A;795;	NI025A
Diatom;Navicula;Navicula gregaria;NA023A;796;	NA023A
Diatom;Navicula;Navicula;NA9999;800;	NA9999
Diatom;Reimeria;Reimeria sinuata;RE001A;802;	RE001A
Diatom;Encyonema;Encyonema silesiacum;EY016A;804;	EY016A
Diatom;Melosira;Melosira varians;ME015A;809;	ME015A
Diatom;Surirella;Surirella brebissonii;SU073A;816;	SU073A
Diatom;Navicula;Navicula lanceolata;NA009B;817;	NA009B
Diatom;Parlibellus;Parlibellus protracta;PARL-01;818;	PARL-01
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;819;	FRAG-03
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;823;	FRAG-03
Diatom;Encyonema;Encyonema minutum;EY011A;826;	EY011A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;836;	ULNA-02
Diatom;Eunotia;Eunotia bilunaris;EU070A;837;	EU070A
Diatom;Hannaea;Hannaea arcus;HN001A;839;	HN001A
Diatom;Psammothidium;Psammothidium bioretii;ZZZ910;840;	ZZZ910
Diatom;Navicula;Navicula gregaria;NA023A;841;	NA023A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;842;	FRAG-11
Diatom;Surirella;Surirella brebissonii;SU073A;843;	SU073A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;844;	FRAG-11
Diatom;Nitzschia;Nitzschia palea;NI009A;846;	NI009A
Diatom;Encyonema;Encyonema silesiacum;EY016A;847;	EY016A
Diatom;Nitzschia;Nitzschia palea;NI009A;848;	NI009A
Diatom;Meridion;Meridion circulare;MR001A;849;	MR001A
Diatom;Nitzschia;Nitzschia sublinearis;NI024A;850;	NI024A
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;853;	FRAG-03
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;855;	FRAG-11
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;865;	ZZZ897
Diatom;Nitzschia;Nitzschia dissipata;NI015A;866;	NI015A
Diatom;Navicula;Navicula gregaria;NA023A;867;	NA023A
Diatom;Nitzschia;Nitzschia dissipata;NI015A;868;	NI015A
Diatom;Navicula;Navicula upsaliensis;NAVI-10;869;	NAVI-10
Diatom;Gomphonema;Gomphonema acuminatum;GO006A;875;	GO006A
Diatom;Stephanodiscus;Stephanodiscus hantzschii;ST001A;876;	ST001A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;881;	ULNA-02
Diatom;Thalassiosira;Thalassiosira weissfloggii;THAL-01;883;	THAL-01
Diatom;Melosira;Melosira varians;ME015A;886;	ME015A
Diatom;Sellaphora;Sellaphora seminulum;SL002A;893;	SL002A
Diatom;Gomphonema;Gomphonema clavatum;GO029A;901;	GO029A
Diatom;Nitzschia;Nitzschia palea;NI009A;905;	NI009A
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;906;	ACHD-02
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;907;	FRAG-11
Diatom;Nitzschia;Nitzschia palea;NI009A;910;	NI009A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;911;	ZZZ959
Diatom;Nitzschia;Nitzschia palea;NI009A;912;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;913;	NI009A
Diatom;Planothidium;Planothidium frequentissimum;ZZZ896;914;	ZZZ896
Diatom;Eolimna;Eolimna minima;EOLI-01;gAM710427;	EOLI-01
Diatom;Eunotia;Eunotia formica;EU018A;gAM710428;	EU018A
Diatom;Cyclotella;Cyclotella distinguenda;CY028A;gDQ514780;	CY028A
Diatom;Sellaphora;Sellaphora minima;SL003A;gEF143279;	SL003A
Diatom;Staurosira;Staurosira elliptica;SR002A;gHQ828193;	SR002A
Diatom;Amphora;Amphora pediculus;AM012B;gHQ912403;	AM012B
Diatom;Staurosira;Staurosira construens;SR001A;gHQ912451;	SR001A
Diatom;Eolimna;Eolimna;EOLI-06;gJQ610175;	EOLI-06
Diatom;Sellaphora;Sellaphora minima;SL003A;gKF959642;	SL003A
Diatom;Achnanthes;Achnanthes oblongella;AC143A;iDTM100_4;	AC143A
Diatom;Eolimna;Eolimna minima;EOLI-01;iDTM42_1080;	EOLI-01
Diatom;Achnanthes;Achnanthes conspicua;AC023A;iDTM42_17;	AC023A
Diatom;Eolimna;Eolimna minima;EOLI-01;iDTM42_2671;	EOLI-01
Diatom;Eolimna;Eolimna minima;EOLI-01;iDTM42_719;	EOLI-01
Diatom;Eolimna;Eolimna minima;EOLI-01;iDTM44_274;	EOLI-01
Diatom;Eunotia;Eunotia formica;EU018A;iDTM47_46;	EU018A
Diatom;Eolimna;Eolimna minima;EOLI-01;iDTM96_900;	EOLI-01
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;iDTM98_32;	ZZZ959
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAB266740;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAB280609;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAB280612;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF015587;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF015588;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF015589;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF064743;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF064744;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF084610;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF084611;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF084612;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF207527;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF465706;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF465707;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF465708;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF465709;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476927;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476928;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476929;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476930;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476931;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476932;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476933;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476934;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476935;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476936;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476937;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476938;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476939;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476940;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476941;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476942;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476943;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476944;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476945;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476946;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476947;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476948;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476949;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476950;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476951;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476952;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476953;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476954;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476955;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476956;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476957;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAF476958;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579564;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579565;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579566;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579567;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579568;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579569;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579570;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579571;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579572;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579573;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579574;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ579575;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ580924;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ580925;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ580926;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ580947;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ580948;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ871362;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874329;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874330;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874331;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874332;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874333;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874334;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874335;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874336;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874337;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874338;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874339;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874340;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874698;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874699;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874700;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874701;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874702;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874703;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874704;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874705;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874706;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874707;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874708;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874709;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874710;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874711;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874712;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874713;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874714;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAJ874715;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAM421002;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAM421003;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAM421004;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAM695634;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAM695635;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682398;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682399;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682400;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682401;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682402;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682403;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682404;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682405;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682406;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682407;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682408;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682409;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682410;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682411;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682412;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682413;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682414;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682416;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682417;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682418;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682419;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682420;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682421;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682422;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682423;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682424;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682426;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682427;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682428;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682429;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682430;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682431;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682432;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682433;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682434;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682435;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682436;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682437;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682438;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682439;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682440;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682441;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682442;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682443;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682444;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682445;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682446;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682447;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682448;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682449;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682450;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682451;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682452;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682453;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682454;	Yellow_green_Algae
